objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,source,language,rights,rightsstatement,student_initials,publish,original_format,type,format,object_comments,group,display_template,filename,object_location,image_small,image_thumb,extension,box_num,folder_num,id_num
ce_b1_f1-item1,,Crabtree Correspondence Alphabetical Name List,"Wallen, Dakota; Sing, Michelle",,N/A,,Typewritten list of names that have documented correspondence with Crabtree in alphabetical order by last name.,lithics; correspondence; names,,,"Moscow, Idaho",46.73418578967567,-116.99092707164833,,,,CE_B1_F1-Item1,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten list,Text,application/pdf,,archives,pdf,CE_B1_F1-Item1.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F1-Item1.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f1-item1_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f1-item1_th.jpg,pdf,B1,F1,F1-Item1
ce_b1_f2-item1,,Letter from Bruce Abell to Donald Crabtree,"Abell, Bruce; National Science Foundation",1971-12-06,1971-12-06,,Typewritten letter from Bruce Abell where he sent Crabtree copies of Mosaic magazine which included an article about Crabtree.,professional correspondence; article; typewritten,"Crabtree, Donald ""Don"" E.",,"Washington, D.C.",38.98119271997237,-76.88134847595776,"Pocatello, Idaho",42.89635373189648,-112.20147608628997,CE_B1_F2-Item1,"8""x10.5""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item1.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item1.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item1_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item1_th.jpg,pdf,B1,F2,F2-Item1
ce_b1_f2-item10,,Postcard from Hudson-Meng Paleoindian Bison Kill excavation site,,1973-05-01,1973-05-01,,Front: photograph of a portion of the Paleo-Indian Bison Kill Site in Crawford Nebraska. Excavation workers can be seen in the photo. Back: details of the excavation site and event.,postcard; photographs; excavation (sites),"Crabtree, Donald ""Don"" E.",,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,"Crawford, Nebraska",42.68258591375688,-103.41120289647804,CE_B1_F2-Item10,"3.5""x5.5""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,postcard,Text; Image;StillImage,application/pdf,,archives,pdf,CE_B1_F2-Item10.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item10.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item10_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item10_th.jpg,pdf,B1,F2,F2-Item10
ce_b1_f2-item11,,Letter from Donald Crabtree to Larry Agenbroad,"Crabtree, Donald ""Don"" E.",1973-05-11,1973-05-11,,Typewritten letter from Donald Crabtree where he wrote to confirm that he would visit the Bison Kill Site. He also congratulated Agenbroad on receiving the N.S.F. grant.,personal correspondence; excavation (sites); typewritten,"Agenbroad, Larry",,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,CE_B1_F2-Item11,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item11.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item11.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item11_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item11_th.jpg,pdf,B1,F2,F2-Item11
ce_b1_f2-item12,,Letter from Larry Agenbroad to Donald Crabtree,"Agenbroad, Larry",1973-05-14,1973-05-14,,Typewritten letter from Larry Agenbroad. Agenbroad wrote back to Crabtree to give him the best dates to visit the site and tell him that they are welcome to stay with him. There is also a handsketched map of the excavation site with directions on how to access it from town.,personal correspondence; excavation (sites); typewritten; maps,"Crabtree, Donald ""Don"" E.",,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F2-Item12,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item12.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item12.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item12_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item12_th.jpg,pdf,B1,F2,F2-Item12
ce_b1_f2-item13,,Letter from Donald Crabtree to Larry Agenbroad,"Crabtree, Donald ""Don"" E.",1973-07-13,1973-07-13,,Typewritten letter from Crabtree to Agenbroad where he finalized their plans to visit the Hudson-Meng excavation site. He said that he was hopeful to see Marie Wormington and Vance Haynes.,personal correspondence; excavation (sites); typewritten,"Agenbroad, Larry","Wormington, Marie; Haynes, Vance","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,CE_B1_F2-Item13,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item13.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item13.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item13_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item13_th.jpg,pdf,B1,F2,F2-Item13
ce_b1_f2-item14,,Letter from Larry Agenbroad to Donald Crabtree,"Agenbroad, Larry",1973-07-18,1973-07-18,,"Handwritten letter where Larry wrote back to Crabtree expressing his happiness that Crabtree was coming on at his planned time. He insisted that Don and Evelyn would eat with his family and see Wormington, Shutler, and Haynes.",personal correspondence; excavation (sites); handwritten,"Crabtree, Donald ""Don"" E.",,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,,,,CE_B1_F2-Item14,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,handwritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item14.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item14.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item14_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item14_th.jpg,pdf,B1,F2,F2-Item14
ce_b1_f2-item17,,“Great Persons” Program invitation from Larry Agenbroad,"Agenbroad, Larry",1974-02-18,1974-02-18,,Typewritten letter where Agenbroad reached out to Crabtree to invite him to be a participant in the “Great Persons” Program sponsored by the Mari Sandoz Society. He also informs Crabtree of his family’s health and asked if the Explorer’s Club had gotten back to him yet or not.,professional correspondence; Mari Sandoz Society; typewritten; Explorer's Club,"Crabtree, Donald ""Don"" E.",,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F2-Item17,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item17.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item17.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item17_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item17_th.jpg,pdf,B1,F2,F2-Item17
ce_b1_f2-item18,,Letter to Larry Agenbroad from Donald and Evelyn Crabtree,"Crabtree, Donald ""Don"" E.",1973-08-17,1973-08-17,,Typewritten letter where Crabtree wrote to Agenbroad to inform him he received the paycheck from the University for the excavation site work and detailed a trip he took with Evelyn. He talked about the Explorer’s Club and attached his qualifications. He then discussed receiving some photos from Junius Bird and Earl Swanson being back in his former position. He also said he met with Francois Bordes and Marie Wormington in Tucson and Denver where they all discussed hammerston vs. billet techniques.,personal correspondence; excavation (sites); typewritten; lithics,"Agenbroad, Larry","Wormington, Marie; Haynes, Vance; Gould, Dick","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,CE_B1_F2-Item18,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,typewritten correspondence,Text,application/pdf,,archives,pdf,CE_B1_F2-Item18.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item18.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item18_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item18_th.jpg,pdf,B1,F2,F2-Item18
ce_b1_f2-item19,,Holiday letter from the Agenbroads,"Agenbroad, Wanda",,1905-05-28 (date issue?),yes,Typewritten letter from presumably Wanda Agenbroad detailing the events of the Agenbroad's year.,personal correspondence; holiday card; typewritten; excavation (sites),"Crabtree, Donald ""Don"" E.",,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F2-Item19,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,,greeting card,Text; Image;StillImage,application/pdf,,archives,pdf,CE_B1_F2-Item19.pdf,https://objects.lib.uidaho.edu/crabtree/CE_B1_F2-Item19.pdf,https://objects.lib.uidaho.edu/crabtree/small/ce_b1_f2-item19_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b1_f2-item19_th.jpg,pdf,B1,F2,F2-Item19
