objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,source,language,rights,rightsstatement,student_initials,publish,original_format,type,format,object_comments,group,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight,count,GGOI,filename,display_template,object_location,image_thumb,image_small
ce_b1_f2-item15,,Letter to Larry Agenbroad from Donald Crabtree,"Crabtree, Donald ""Don"" E.",1973-10-02,1973-10-02,,Typewritten letter where Crabtree wrote to Agenbroad to inform him he received the paycheck from the University for the excavation site work and detailed a trip he took with Evelyn. He talked about the Explorer’s Club and attached his qualifications. He then discussed receiving some photos from Junius Bird and Earl Swanson being back in his former position. He also said he met with Francois Bordes and Marie Wormington in Tucson and Denver where they all discussed hammerston vs. billet techniques.,personal correspondence; Explorer's Club; typewritten,"Agenbroad, Larry","Daugherty, Dick; Haynes, Vance; Gould, Dick; Bird, Junius; Swanson, Earl; Bordes, Francois; Wormington, Marie","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Chadron, Nebraska",42.82934786534046,-102.99942780634476,CE_B1_F2-Item15,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Typewritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F2-Item15.pdf,pdf,,,
ce_b1_f2-item16,,Letter from Larry Agenbroad to Donald Crabtree,"Agenbroad, Larry; Crabtree, Donald ""Don"" E.",1973-10-09,1973-10-09,,Page one: Agenbroad wrote to Crabtree to inform him that he would sponsor his Explorer's Club application. Page two: Agenbroad attached a copy of the application and asked Crabtree to fill in missing fields. Page three: Letter from Crabtree to Agenbroad about the application and Earl Swanson returning to his former position.,personal correspondence; Explorer's Club; typewritten; letter of recommendation,"Crabtree, Donald ""Don"" E.; Agenbroad, Larry","Gould, Dick; Haynes, Vance; Bird, Junius; Sanger, David; Swanson, Earl; Butler, B. Robert; Agenbroad, Wanda","Chadron, Nebraska",42.82934786534046,-102.99942780634476,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F2-Item16,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Typewritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F2-Item16.pdf,pdf,,,
ce_b1_f2-item28,,Letter from Donald Crabtree to George Agogino,"Crabtree, Donald ""Don"" E.",1970-10-03,1970-10-03,,Copy of a typewritten letter where Crabtree wrote back to Agogino to inform him that he received the flakes and worked with them with Francois Bordes who was visiting. He said he had Irvin Rovner at the field school and had him return the flakes to Agogino. He then writes that Evelyn is ill with lung cancer.,personal correspondence; typewritten; tool exchange; artifact identification; health; field school,"Agogino, George","Bordes, Francois; Rovner, Irvin; Crabtree, Evelyn","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Portales, New Mexico",34.18763622670309,-103.33258431768486,CE_B1_F2-Item28,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Typewritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F2-Item28.pdf,pdf,,,
ce_b1_f3-item36,,Letter from Michael W. Barnes to Donald Crabtree,"Barnes, Michael W.",1966-03-10,1966-03-10,,Handwritten letter from Michael Barnes saying that he found “the article on heat treating silicon material extremely informative.” He said he is studying anthropology and a lithic technologist. He asked to be sent information on how to chip a hole into a flake without drilling it.,professional correspondence; heat treatment; techniques; stoneworking; handwritten,"Crabtree, Donald ""Don"" E.",Butler,"Philadelphia, Pennsylvania",39.95558519784379,-75.15030921595914,,,,CE_B1_F3-Item36,"8.5""x11""","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Handwritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F3-Item36.pdf,pdf,,,
ce_b1_f4-item123,,Letter from Donald Crabtree to Douglas Byers,"Crabtree, Donald ""Don"" E.",1970-07-23,1970-07-23,,"Typewritten letter from Donald Crabtree to Douglas Byers where he discussed Evelyn's cancer treatments and inquired about Byers' health. He went on to discuss the Bull Brook collection again, and said that without seeing many more of the artifacts at the same time he couldn't draw any conclusions about whether some things were purposeful or not.",personal correspondence; artifact analysis; surgery; health; typewritten,"Byers, Douglas S.","Crabtree, Evelyn","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Andover, Massachusetts",42.65865209238014,-71.13307507847972,CE_B1_F4-Item123,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Typewritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F4-Item123.pdf,pdf,,,
ce_b1_f4-item124,,Letter from Douglas Byers to Donald Crabtree,"Byers, Douglas S.",1970-08-03,1970-08-03,,Handwritten letter from Douglas Byers to Donald Crabtree where he discussed more about Evelyn's cancer and answered his questions regarding his own health. He talked more about the issues he was having with analyzing the Bull Brook collection.,personal correspondence; artifact analysis; surgery; health; handwritten,"Crabtree, Donald ""Don"" E.","Crabtree, Evelyn","Blue Hill, Maine",44.41467388720081,-68.578136725863,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F4-Item124,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Handwritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F4-Item124.pdf,pdf,,,
ce_b1_f4-item125,,Letter from Donald Crabtree to Douglas Byers,"Crabtree, Donald ""Don"" E.",1970-10-07,1970-10-07,,Typewritten letter from Donald Crabtree where he updated Byers on Evelyn's progressing cancer and how they were treating it. He mentioned that Earl Swanson would visit him to look over the Bull Brook material and then he talked about the recent summer field school.,personal correspondence; travel; health; field school,"Byers, Douglas S.","Crabtree, Evelyn; Swanson, Earl; Bordes, Francois; Scotty; Rovner, Irvin; Stockman, Karen; Phagen, Karl; Johnson","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Surry, Maine",44.498647481399544,-68.51004577133696,CE_B1_F4-Item125,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Typewritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F4-Item125.pdf,pdf,,,
ce_b1_f4-item126,,Letter from Douglas Byers to Donald Crabtree,"Byers, Douglas S.",,N/A,N/A,Typewritten letter from Douglas Byers where he gave his sympathy for Evelyn's progressing cancer and updated Crabtree on his personal and work life. He discussed his work on the Bull Brook collection and a comparison of Western and Eastern Paleo-Indian materials.,personal correspondence; heath; artifact analysis; research; article,"Crabtree, Donald ""Don"" E.","Irwin; Wormington; Crabtree, Evelyn; Bordes, Francois","Andover, Massachusetts",42.65865209238014,-71.13307507847972,,,,CE_B1_F4-Item126,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Typewritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F4-Item126.pdf,pdf,,,
ce_b1_f4-item127,,Letter from Donald Crabtree to Douglas Byers,"Crabtree, Donald ""Don"" E.",1970-11-13,1970-11-13,,Typewritten letter from Donald Crabtree where he updated Byers on Evelyn's cancer treatment and then wrote back to comment on a paper he had sent him about the Bull Brook collection.,personal correspondence; health; artifact analysis; article; technique; typewritten,"Byers, Douglas S.","Crabtree, Evelyn; Swanson, Earl","Kimberly, Idaho",42.5335805982885,-114.36611902175405,"Andover, Massachusetts",42.65865209238014,-71.13307507847972,CE_B1_F4-Item127,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Typewritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F4-Item127.pdf,pdf,,,
ce_b1_f4-item128,,Letter from Donald Crabtree to Douglas Byers,"Crabtree, Donald ""Don"" E.",1971-06-24,1971-06-24,,"Typewritten letter from Donald Crabtree to Douglas Byers where he wrote to update Byers on Evelyn's health and his recent travels. He discussed the upcoming field school, his work, and his plans to travel and visit with him.",personal correspondence; health; field school; experimental archaeology; techniques; travel; vacation; typewritten,"Byers, Douglas S.","Crabtree, Evelyn; Swanson, Earl; Coe, Joffre; Mauger, Jeff; Scotty; Fred; Phagan, Carl","Andover, Massachusetts",42.65865209238014,-71.13307507847972,"Kimberly, Idaho",42.5335805982885,-114.36611902175405,CE_B1_F4-Item128,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,,http://rightsstatements.org/vocab/InC-EDU/1.0/,JH,no,Typewritten correspondence,Text,,,no publish - archives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,CE_B1_F4-Item128.pdf,pdf,,,
