timestamp,speaker,words,tags
00:00:00,Marco Seiferle-Valencia,"Thank you, everyone, for joining us. I'm really delighted to be here with Jylisa Kenyon and Mandi Harris, who's our special guest today, discussing her role on our advisory board as part of our CLIR Crabtree grant. Uh Mandi and I got acquainted with each other at a library conference in, wow, 2019, I guess it must have been 'cause the pandemic was not a thing. So that's kind of the waypoint for that. Um and Mandi has had a lot of um really interesting uh and relevant, in my opinion, roles to this uh project. She was recently a librarian up in Coeur d'Alene and is now a graduate student um in the School of Information at University of Washington.",
00:00:38,Marco Seiferle-Valencia,"Um so Mandi if you would um you know, first, I just wanted to say thank you for being here, for doing this with us. Um I feel like we got so lucky with our advisory board, and that definitely includes you and I'm very excited for um our collaborations on this, especially um as we start to think about our K through 12 outreach. Um I, I'm just so excited to have you as a collaborator and a partner on that. So thank you for agreeing to do this with us. Um before we dive into the questions, um we always just ask folks uh to do an introduction. You know, that can include uh your name, your role, any important affiliations that you'd like to share um with the audience before we dive in.",
00:01:19,Mandi Harris,"Right. [Transcription Needed 00:01:20], hello, my name is Mandi Harris. I'm an enrolled citizen of Cherokee Nation. I'm currently a second year PhD student in the Information School at the University of Washington. I also got my MLIS from UW. I liked it so much I just had to go back and get my doctorate. Um and all of the connections that I made there made it a very welcoming place for me, along with its focus on Native North American and Indigenous Knowledge, the NNAIK program there.",
00:01:48,Mandi Harris,"And before that, prior to joining the UW, once again as a PhD student, I was the head of youth services for the Coeur d'Alene Public Library up here in Coeur d'Alene, Idaho, which is where I am speaking to you from today. And I have worked in public libraries, in youth services for a little over a decade now or just coming up on -- just coming up on a decade now, which is hard to believe. I love youth librarianship. I love being able to watch children and families learn and grow together, especially through books and through programming, and how a community can come together through the library.",
00:02:28,Marco Seiferle-Valencia,"Awesome. Thank you, Mandi. Um thank you again for being here. And uh just for folks who are you know maybe tuning in, I think um it's pretty cool that Mandi is our only graduate student on the panel, and so I'm -- I'm really delighted to have someone with such um a diversity and depth of experience to bring to this, but who's also um still very much sort of a, an up-and-comer into some of these, um, these relevant disciplines to the Crabtree Collection. So I, I think we've um, just -- just as I said before, been tremendously blessed with a -- a really great advisory board committee of both um very established and experienced researchers and then up-and-coming stars like Mandi. So thanks for taking some time out of your day to -- to do this with us. And with that, I'll take us into the first question, which is, what's your perspective on the Crabtree Collection and other ones like it? Uh is it appropriative of Native cultures?",
00:03:20,Mandi Harris,"So I was thinking a lot about this and about appropriation. And to me, a more accurate word would be erasure. Erasure of Native cultures. So collections like Crabtree's, they remove Indigenous art and science, and from my perspective, Indigenous art and science go hand in hand along with Indigenous knowledge and information organization. So it's removing Indigenous art and science from its context. So I'm going to cite Cree scholar Shawn Wilson. So in the introduction to his book ""Research Is Ceremony,"" he states that, ""Indigenous epistemology is all about ideas developing through the formation of relationship. An idea cannot be taken out of this relational context and still maintain its shape."" So that quote's from Shawn Wilson, and I really was thinking a lot about this idea and how Crabtree's Collection with the flintknapping -- the flintknapping has been taken out of its relational context. So how can it still retain its shape?",
00:04:16,Mandi Harris,"And so it's been deprived of its relationships. We don't know who Crabtree learned from and what the cultural context was, the stories, the relationships, and the scientific and artistic knowledge there that had been held since time immemorial. Um so there was a cultural context that was lost around flintknapping when Crabtree became held up as one of the world's best-known flintknap artists. And it's a parallel to so much of the erasure that has happened of um Indigenous knowledge on the lands that are now known as the United States. And there's a lot of room and [inaudible]... for grief here. And when we consider a collection like Crabtree's, I think acknowledging that grief is very, very important.",
00:05:01,Mandi Harris,"And I, you told me that there were Native individuals who have learned flintknapping back from Crabtree. And so there's these -- these mixed emotions around Crabtree, um both the gratitude of being able to learn the skill back and then that loss, that appropriation and that erasure. And so I'm always grateful when people can reengage with art. And I have several friends who have reconnected with their cultures as adults through learning bead work. And it's something that I, myself, as an adult have connected and reconnected through bead work. Um but we, I -- I always like to ask myself questions, and so why is there the need to relearn? Um and especially, why is there the need to, for an Indigenous person to relearn a skill from a non-Native person? And so whose,",
00:05:45,Mandi Harris,"I'm just going to answer your question with more questions. Uh whose names do we know? Whose names do we not know? And whose stories, especially as a librarian, whose stories do we know and whose stories do we not? Whose stories are being told? And so, since libraries are responsible for archiving this information, and when cataloging, we -- we look at the metadata, and part of that metadata is, who's the creator? You know, you're going to fill in the field of who's the creator. And so when we call this the Crabtree Collection, he's sensibly the creator of the individual objects, but is that truly accurate? And so whose names, whose knowledges are being left out of this metadata?",
00:06:27,Marco Seiferle-Valencia,"Thank you, Mandi. That is, that is such a great and thoughtful response and I think resonates with so many things um you know that Jylisa and I have thought about and talked about and that we've heard about in the other interviews as well. Some of the things that came to my mind when -- when you were speaking on that was thinking about, um actually, Andy Warhol sort of occurred to me because of his interest in the sort of the -- the surface of things, the sort of superficialness of things. And I was thinking about, you're saying you know taking something out of context, you end up with just um what in Buddhism we call like the form or like the vessel, right and it's like, what is the meaning? It's kind of like, it's -- it's taken out, it's an erasure and",
00:07:05,Marco Seiferle-Valencia,"so I -- I think that that's um, that void, it is -- it is painful like from a Native perspective. And I -- I really appreciate you specifically naming grief um because that's something that, you know to be honest, in this project, I felt sort of like, you know I feel sad about these rocks, especially the ones that have a -- a Native provenance, and the -- the sort of pain of knowing they're in the collection that we don't have a good way to re-provenance them. Um and there's a, ya know, a sort of colonial perspective I guess, that's like, ""Oh, you know, it's good, they're in a museum and they're being preserved"" and you know all this kind of stuff, but it's like at that sort of intuitive level of -- of the loss and, and what it -- what it represents and how it connects to that and um",
00:07:49,Marco Seiferle-Valencia,"I think Jylisa and I have talked in some of these interviews about sort of getting a handle on this collection by understanding Crabtree as -- as an artist, but as one who erases all of these other creators when he's held up as the definitive, as the only, um even when all of these things that are more his belongings, he becomes the quasi creator of right? There's an almost sort of like, everything he can see becomes his, right? And it's like, oh, isn't that sort of that colonial perspective manifest here?",
00:08:22,Marco Seiferle-Valencia,"And I don't, we don't know Crabtree, and I -- I personally don't know his perspectives well enough to say that that was ever his intention with this. I think this is more what we have to reckon with as librarians and archivists and anthropologists when we talk about these collections and how we situate them and how we frame them and how do we talk about the incredible technical expertise or artistic expertise while also acknowledging the erasure and the grief, and making sure that we don't lose the nuance and the complication of the original creators and practitioners of these arts. So yeah, tons, tons to think about and go off of there. Uh Jylisa, do you want to take us into number two?",
00:09:02,Jylisa Kenyon,"Sure. Yeah. Um Mandi, your comments in the -- in the prior question, I think, lead into this one really well, um and especially because all three of us here are librarians and have that type of background uh, do you think folks digitizing digital collections who are not anthropologists should take up this type of contextualizing work? If so, how can we be successful without causing further harm?",
00:09:27,Mandi Harris,"Well, the history of anthropologists engaging with Native communities is -- is filled with harm, so this work should not be left solely to anthropologists. Museums still hold on to the physical remains of our Indigenous ancestors, human bodies, human bodies that were stolen by anthropologists and archeologists for the sake of building careers and filling museums. And Indigenous nations are struggling and fighting for the return of our ancestors. And so I was thinking um a lot about things that I've been reading recently. And um the University of Toronto has an Indigenous rematriation advisor, and um she's currently seeking the rightful owners of a 40,000 artifact collection. And so if we place people into these roles, then it doesn't necessarily prevent harm or repair the harms, but it can be a step towards responsibility. And so I was really inspired by that Indigenous rematriation advisor, and I especially appreciate the word rematriate rather than repatriate because I think that there's so much power when you choose a term like rematriate. Um and so,",
00:10:41,Mandi Harris,"also, I was thinking a lot about the, I guess I think a lot about these things. I keep using that phrase. I was thinking a lot about this. And so um the quote, there's a quote by Maori researcher Linda Smith who wrote ""Decolonizing Methodologies."" And so she talks about, in Indigenous communities, and this is her direct quote, quote ""research was talked about both in terms of its absolute worthlessness to us, the Indigenous world, and its absolute usefulness to those who wielded it as an instrument."" End quote. And so its, you know, its uselessness, its worthlessness to the Indigenous world, but its usefulness to those who wielded it as an instrument, and those would be the anthropologists. And not just the anthropologists, but the very institutions that those anthropologists were employed by and who they were paid by and who they represented.",
00:11:31,Mandi Harris,"And so it's -- it's very interesting here because collections like this, they go into building up the university's reputation, uh the -- the researcher's reputation. And so it's very important to be mindful, especially I think that quote by Linda Smith. And remembering the harms of history, the harms of research, and the very real reasons behind institutional mistrust. And so thinking about not causing further harm, I don't know if it's actually possible. As imperfect human beings in an imperfect world, every single one of us who are existing here in the United States we're growing up under capitalism, under colonialism, under white supremacy, and we have internalized all of those things. And it is a constant journey, a constant iterative, reflexive journey to unlearn those things that we have been deliberately taught in order to function in what is now known as the United States.",
00:12:35,Mandi Harris,"And so um there was a fabulous book that came out in 2022, and it was called ""Weaving an Otherwise,"" and um ""Weaving an Otherwise: In-Relations Methodological Practice,"" um an absolutely fantastic book by um Tachine and Zaro. And there's a quote from the forward in it by Lee Patel, and it says, I love this quote so I'm gonna, again, I have all these quotes. I'm going to quote 'em directly. Here we go. So the quote is, ""In striving for knowledge practices that create liberation while tearing down hierarchy, we will make mistakes."" And so I don't know if it's possible to not cause further harm. In fact, I have another quote, but this is from a friend of mine, uh Tully O'Leary. She's Cheyenne River Sioux and last year, last June, I was about to present at a conference. I had written a paper on Indigenous picture books, and I told Tully I was so nervous. I was like, ""What if I haven't read enough? What if somebody rips my paper to shreds -- to shreds and says, 'Well, this is wrong because you didn't read so-and-so and you didn't cite so-and-so and here's how your whole paper's wrong?'""",
00:13:42,Mandi Harris,"And I was so scared of that, that I didn't know how it was possible to read everything that I needed to read to have this full understanding. And Tully just said, ""Well, then you'll know more than you did before, won't you?"" And I really loved that because I was so afraid I wanted to do -- to do right by my advisors, to do right by my university, to do right by uh my tribe, to do right by those people I was representing. Um but Tully reminded me that correction is caring. So if in doing this work you are corrected by the Native peoples you are working with, then listening, understanding, and accountability that's how you improve and that's how you mitigate those harms. So reflexes, reflexivity is necessary, as is slowing down, um building reflexivity and slowness into your work. And so taking the time to ask these very important questions of, how will you mitigate the harm? And then how will you repair the relationships and show responsibility and reciprocity once you have caused harm, whether intentionally or unintentionally. And I doubt you would do it intentionally. It's most often unintentionally.",
00:14:55,Marco Seiferle-Valencia,"Thank you, Mandi. Um I'm wondering if you would expand a little bit on the rematriation versus repatriation. I think that you know maybe, you shared this article with us and then I, you know I shared it with Jylisa and we made sure to share it with our team, so like everyone in this room kind of knows the reference point there. But just -- just to sort of catch the -- the viewer who doesn't know, would you -- would you mind just maybe capping that kind of briefly, you know, sort of what resonated for you there? And um I think this is the first time I've ever heard of rematriation, I'll be honest. So I -- I found it great, um but am -- am excited to learn more.",
