timestamp,speaker,words,tags
00:0:00,Marco Seiferle-Valencia,"Okay. Well, thank you so much for joining us, everyone. Thank you to the audience for watching, and thank you especially to our guest today, uh, Lorisia MacLeod. Thank you so much for coming and joining us and speaking with us. Um I've -- I've been saying this at the start of every one of our interviews, I feel like we got just incredibly lucky, uh, with the advisory board that we ended up with, and you're a huge part of that. So I just wanted to say right off the bat, thank you so much. Um we've appreciated the help that you've already shared with us, and also, um, I think we're going to have even more questions as we work our way through sharing our 3D models.",
00:0:34,Marco Seiferle-Valencia,"Um your expertise, I think, is especially pertinent, um, to sort of the second half of the project, if you will, where we're thinking about how to share some of these digital assets, um what those 3D models like, what some of the implications of those are, like the ethical handling of those, particularly um the sort of split between things that were created by Crabtree and then things that are Native belongings or Native provenanced in that collection. So I'm just -- I'm just so happy to have you here today, I'm so happy to chat with you about these questions. So thank you so much for being so generous with your time and um being a part of our advisory board.",
00:1:11,Lorisia MacLeod,"Absolutely. I am very excited to be involved and it's a really exciting project, especially, um, I am really excited by the multidisciplinary kind of aspect of the advisory committee, um, and I think that's really important for a project like this. So super excited.",
00:1:30,Marco Seiferle-Valencia,"Awesome. Thank you. Yeah, I -- I, we got such a -- a cool crew and I'm excited to see all the videos together too, and the sort of um, overall um complexity and perspectives and viewpoints that puts out, with the commonality of everyone being really rad. So, um I just feel really lucky. Uh so with that, we'll just dive right into the questions. So um the first one...",
00:1:50,Jylisa Kenyon,"Um Marco, I think we want, uh, Lorisia to give an introduction.",
00:1:54,Marco Seiferle-Valencia,"You are so right, Jylisa. Thank you so much. Uh, yes, Lorisia, would you please do a -- a full introduction of yourself, um full name, um any affiliations, anything that you'd like to share just as an intro?",
00:2:07,Lorisia MacLeod,"Excellent. Okay. Um so is it all right if I introduce myself in part in Cree and I'll provide you the typing of all that for the transcript? Excellent, uh, so Tânsi, Lorisia MacLeod. I am a proud member of the James Smith Cree Nation, and I reside in Edmonton, Alberta, in Canada. I am a learning services librarian at the Alberta Library, and my background, uh education-wise, is a master's of library and information studies, as well as a BA with a double major in French and language, uh French language and literature, as well as anthropology.",
00:2:53,Marco Seiferle-Valencia,"Awesome, thank you. Thank you. And great catch, Jylisa. [laughs] I was like, ""all right, question one."" All right, so let's dive into that question now, after um we have a little bit more context. So uh for number one, what's your perspective on the Crabtree collection and ones like it? Do you think it's appropriative of Native cultures?",
00:3:14,Lorisia MacLeod,"So my perspective on it is, first of all, it's unfortunately not a unique collection. Now, by that, I mean, the pieces within it, the artifacts themselves may be quite unique, but the way that this collection was created is unfortunately not all that unique, um, to how archaeology or in fact, a lot of academic pursuits treated Indigenous knowledges and Indigenous creations, um, historically. So, I personally do see it as, uh, an appropriative um, uh, collection, and that really comes down to the fact that it does appear to be created without any intent for there to be a reciprocal relationship with the Indigenous groups that this knowledge was coming from. Um I guess there's no way to say for sure what Crabtree's intent was, but um it really does come off as very appropriative because there isn't that community relationship built into the work that he was doing, um which is unfortunate.",
00:4:22,Lorisia MacLeod,"I will admit, it does seem like it's a very important collection, and that is both it was important in its time in the way that it was used, but I think it's also actually kind of more important now because it can be used to spark this kind of conversation about how was this work done and was there a way that it could have done, been done better? Um and I think that can be really informative for current and future archaeological work. So I'd actually argue as unfortunate as it's appropriative actions were historically, um there is the opportunity to take that and really make it beneficial to the field more generally, to discuss ways of doing this kind of work in a better way, um, matching kind of modern ethics of working with Indigenous people, not working on Indigenous people or Indigenous knowledges. Um that concept of ""nothing about us, without us,"" uh, is of course very common. So um yeah, I would say it is appropriative, but I do see there being a benefit to engaging with it in a modern context, for sure.",
