timestamp,speaker,words,tags
0:00:00,Marco Seiferle-Valencia,"All right. Well, thank you everyone for joining us for this interview. I'm really excited to be here today with Richie Meyers. Uh Richie, would you give us an introduction? Um just your name, your title and affiliations. And before you do that, I just want to say thank you so much for being here and agreeing to be part of our Tribal Advisory Board. We just have been incredibly lucky with the folks who agreed to participate and help us with this, and you've been a really big part of that, so thank you for agreeing and, um, I'll kinda turn it over to you to do your introduction.",
0:00:29,Richard Meyers,"Sure. Uh [laughs] not the best with introductions, but I guess my name is Richard Meyers",
0:01:33,Marco Seiferle-Valencia,"I think that's a great intro for our audience and we'll also have this all typed up too, and so you can always look it over and, uh, let us know if there's anything you want to add or we can put in your -- your written blurb that introduces you to folks. So thank you. Thank you for bringing, um, all this expertise to bear with us. We're, like I said, just really lucky with the crew that we got, and, um, thank you for -- for taking on these questions. So with that, I'm just going to kinda dive into the first one, which, what's your perspective on the Crabtree Collection and ones like it? Do you think, um, it's appropriative of Native cultures? Is it appropriative? What are your thoughts on it?",
0:02:09,Richard Meyers,"Yes, I uh, I guess over the past few years I -- I sit on a variety of different boards and some of those boards have a lot of archaeological, um, people on there. [laughs] And I -- I guess I was not the most, uh, driven to or as attuned to archaeology, but somethin' I've noticed over these years is many of them all share the desire to dig for arrowheads. [laughs] And as children, which I recently admitted that after Indiana Jones, I had the same desire and dug a three-fit, foot pit in my, uh, Irish grandma's yard once and got in trouble. But, um, the idea of, I guess what it means to collect and to, I guess, acquire with the curiosity, uh, on one level is a benign act of just human engagement with the world around us. But at the same time, in, uh, different capacities, these actions, um, you know, obviously following NAGPRA in the 1990s and as Native people have been a recipient without necessarily a, you know, voice in a lot of things.",
0:03:30,Richard Meyers,"All of the -- the cultural appropriation that has been going on and ongoing and still ongoing every Thanksgiving and Halloween and whatnot in mainstream America, it, it's something where the conversation is exciting to see now that your project here that we're a part of is, uh, taking that on. So I guess thinking of the Crabtree Collection, it's a fascinating moment to engage with the complexity of what it means to bring forward those who've never understood or considered the marginalized voices of Native people and, uh, give people who have, you know, an invested interest and emotional ties to artifacts, um, that -- that proper recognition and seat at the table to converse about it.",
0:04:24,Marco Seiferle-Valencia,"Thank you. That's well and powerfully said. Um I -- I recently learned that surface collection of arrowheads had been excluded from NAGPRA. I'm not sure if that's right, if I'm understanding that right. But I, I'm just sorta struck by what you said about that as a sorta commonality amongst, um, maybe archaeologists as a whole or even people who've had some experience or interest in archaeology, just in amateur sense. Do you -- do you have any context or any knowledge you can share with folks about why those surface points were left out of that and how, how maybe that it, itself part of an appropriation or obscuring, um, the kind of proper cultural context for those?",
0:05:08,Richard Meyers,"So for sure, uh, I -- I just learned of that in a policy for the Forest Service recently at a training, actually this past week in Golden, Colorado. [laughs] So one of the, uh, you know we had law enforcement there and agents discussing people with, uh, all sorts of really fascinating stories and selling things on eBay [laughs] to big lawsuits and big, um, recoveries of, of really, I guess, artifacts that not all are Native, um, oriented, some are different kind of American history that, uh, leads to military collections and other such items. But again, that -- that notion of, uh, the fetish for objects and containment, kind of objectification, all of that stuff is unique in some ways to, I guess the, the educational background of what it means to objectify something in science. Um it's a little bit detached from the more personal, you know again, stories and things that you learn if you are growing up in a Native community, there are things you're not supposed to do or touch and out of respect,",
0:06:26,Richard Meyers,"things have a different, kind of, uh, I guess, embodiment of -- of, um you know, uh, there's a different concept to what that means. Something is inanimate versus animate versus all things in the universe kind of have their, their purpose and place. But the surface level, uh, artifacts, you know again, depending on what they might be, uh, they have to be more, more so, uh, not an arrowhead, but the idea that an arrowhead is something that could indicate a more, um, I guess, intense need for an archaeological inspection [laughs] if there's a couple versus a random one here or there. Uh it, it's an interesting thing both legally, culturally, and policy-wise, what that's, you know, what that means to unpack that phenomena. Um if it was something more, uh, connected, there's something there and an arrowhead, you're gonna need to do an inspection or I guess, um, a survey, an archaeological survey. I've had way too many, uh, neologisms and acronyms in the past few weeks from anthropology to federal acronyms, so I apologize, but -- but yeah, yeah.",
0:07:51,Marco Seiferle-Valencia,"No, you're -- you're doing great, man. And, um, yeah, really, really fascinating. I see we're both still learning as we go, um, uh, even -- even up till the moment in real time. And it, it is really interesting, um those points you raise about sort of objectification and appropriation and, um, pan-Indigeneity and anonymization of culture and the way in which, um, we should consider those items more carefully as potential archaeological evidence and so on and so forth. So, and also, um, just want to say before we go into question two, it's doing and doing the research for this project, it's been disturbing to me how many ads now I get on Facebook of people selling artifacts, um, you know, and I -- I get ads now on all my social medias that, that have groups that sell that.",
0:08:39,Marco Seiferle-Valencia,"I get ads now for it on eBay, and I've never searched in any of those systems for these items. I don't collect them and would not. Um and it's just really interesting to see how in doing the research for -- for this work, how that's introduced me to this sort of consumer marketplace of stolen and other unprovenanced things, and it's -- it's -- it's really disturbing and, um, really unexpected. I -- I hadn't thought about how that sort of new technology's enabled these old habits and even sort of further and extend and amplify them. So yeah. Um all right. Jylisa, well, why don't you go ahead with question two.",
0:09:14,Jylisa Kenyon,"Okay. Uh do you think folks digitizing digital collections who are not anthropologists should take up this type of contextualizing work that we've kinda been talking about through this project and through our advisory board? Um if so, how can we be successful without causing further harm?",
0:09:32,Richard Meyers,"Hm. That's a really excellent question. [laughs] It would be, uh, awkward to say ""no."" But uh, no I -- I think yes, obviously, I think the technological advances since the early days of, um, even prior to the establishment of the formal anthropology out of ethnology and amateur kind of engagement with travel narratives to so on and so forth, uh, the -- the kind of methodology that anthropology has and has had and kind of wields, um, you know, for good or for bad, it has spread out ethnography you'll find in the field of education. You'll find it as a method in a lot of different fields for, uh, research. So to me, digitizing is, you know it's a wonderful advent of -- of, uh, technological abilities to capture something.",
0:10:30,Richard Meyers,"And is that more or less harmful? I, I'm not the end all be all on giving a perspective there. Um there are different, obviously, perspectives, what, going to photographs. Not all Tribal people are against them and not all Tribal people are for them. You have a lot of contingent beliefs and ideas as to what's appropriate and what is not, but digitizing something that exists and allowing that access to that knowledge base and -- and resource, um, in an equitable fashion, but at the same time a respectful fashion, having people think of those things, I think that's the point. And so it makes sense to spread that responsibility not -- not simply in the field of, I guess, anthropology or cultural resource management. More, the more fields the better -- better, the more the merrier. [laughs]",
0:11:30,Marco Seiferle-Valencia,"I think that's such an encouraging response for, um, galleries, libraries, archives, and museum workers. You hear that abbreviated as GLAM. Um, you know, for those GLAM workers, um, because so much of our training we're taught to think about information sort of outside of content or outside of context, like think about the information, not what's actually contained in that information. And so we do a lot of deferring to other experts. So, you know we, I'm an education librarian in title, and so I do a lot of work with education faculty who have experience in the classroom that I don't have, you know and, and never will. They're K through 12 experts. So at the same time, I feel like that can mean that sometimes those GLAM folks are reluctant to get in there with these collections that have these obvious issues, but figure out how to raise them and bring them up and bring it to the forefront of the conversation because we're taught to not think of ourselves as experts.",
0:12:22,Marco Seiferle-Valencia,"And I feel like one of my -- my big hopes for this is that we can sort of inspire people to think about our responsibility as information curators and preservers and, um, you know, outreachers to think about what our sort of bigger responsibilities are and not just reproducing these harmful messages forward. So, um I think that that's a really, a great message and a great starting point that it's like it doesn't have to be, um, your particular area of expertise necessarily in terms of the content or the subject. You can know that we need to be bringing critical perspectives to information and then think about how to get the right people in the room that are those experts, like Richie, for instance. Um, so a follow-up question for that is what do you think makes a digital effort like this a good partner to Native nations and people? What can the academy and land-grant schools do to be better partners and more accountable to Native stakeholders?",
0:13:15,Richard Meyers,"Hm. That's a really a -- a really excellent question. It's got a lot of different parts to it. Um I know this past week in real time, the Tribal leaders meeting in DC met with the different government agencies and the land-grant, 1994 Tribal college universities so forth was discussed in -- in that notion of really revisiting what the original Morrill Act wasn't including, Blacks or Native people in its inception. So it's again, uh, uh, an exciting time to visit all of these things. I think, uh, [cough] the, the digitizing and the, uh, kind of engagement to allow Tribes, I guess for lack of more complicated kinda verbiage, a -- a seat at the table in the, um, holding and wielding and, and depictions and, and kind of, uh, displays of both material culture and culture-at-large, um, in different capacities is something that again, uh, for so many years has been held ironically, like the previous question, in the hands of so-called experts and specialists. Um, much of the irony of becoming an academic and being a Native person is you become a generalized specialist.",
0:14:40,Richard Meyers,"Anything Native North America gets thrown on your lap. So from, uh, [laughs] I guess applied anthropology of contemporary Tribal nations and sovereignty to, uh, historical or ethno-historical research to, um, foods. There, there's just, just so many different, uh, topics and kind of genres that you cross when dealing with the large overarching topic of Native North America. And within that kind of complicated, um, arena, you have power dynamics and the power has always been held by those who are not living in those communities. The voices of those who do reside are usually neglected. It's not to say that sometimes Native academics don't live in their communities and are spread out. And so it's interesting to conceptualize, are you any different than an academic-at-large or do you represent your Tribal community? Who represents who? How many people are out there? What are stakeholders? What is the community? Um, some of those questions, you know, are inherent to this project as well. Who represents the Native community? Who in what, uh, particular Tribes, it, it's much the same as with NAGPRA and other things. Bringing people to the table is critical, so.",
0:16:11,Marco Seiferle-Valencia,"Yes, um, and I think just such -- such a great perspective and great, um, great wisdom for our audience to think about, um, being really skeptical of any easy efforts to sort of identify someone to speak for the whole of a Tribal nation or sovereign nation is just like very, very challenging. And so, you know I think Jylisa and I really experienced that in real-time on this project in designing the advisory board and figuring out, um, who should we ask and what are we asking for? So where are we asking people to speak from? Um what experience are we asking them to bring? And are we asking people to speak from their personal experience as Native academics, or are we asking people to represent a official sovereign viewpoint? And I think we were very clear in that we were asking people for opinions and inputs, um, perspectives, attitudes that are from their personal and professional context, but that we aren't saying, um, you know, a particular sovereign nation has a particular viewpoint on this project.",
0:17:16,Marco Seiferle-Valencia,"And I think there's some real nuance to that. That folks who aren't used to working with, uh, Native nations as partners might not, um, be as aware of how nuanced and complex that is and how you need to think about specifically what you are asking for people, um, when they are contributing on an effort like this. So we've really worked closely with our, um, expert at the university. Yolanda Bisbee, who's our, um, is she a chair, Jylisa? What's, do you know her official title? She's like one of our, um, she is our Tribal, uh, liaison coordinator for all of the official coordination between the University of Idaho and Tribal nations.",
0:17:54,Marco Seiferle-Valencia,"And so we brought her in on this, um, right from the start and she said, ""you don't need my specific input,"" but she's one of the folks who actually gave us this advisory board idea and then, um, has sorta been with us as we've gone through the iterations. So um, lot, lots of me kind of rambling off there, but, um, hopefully some useful context for folks to think about as they're inspired by this video to try this in their own GLAM context that, um, there's really a lot of nuance to what you're pointing out there and a lot of questions you gotta think about, about who you're asking and for what, um, you're bringing them in, what the capacity is. Um Jylisa, do you want to go to question number four for us?",
0:18:31,Jylisa Kenyon,"Sure. Thanks, Marco.",
0:18:31,Marco Seiferle-Valencia,Yep.,
