timestamp,speaker,words,tags
0:00:00,Marco Seiferle-Valencia,"Um well, Angie, why don't we just go ahead and dive into, to, these questions here. And, um, usually, what we do is we just want to start off and just say, you know, hello, thank you for joining us. Thanks for being a part of this advisory board. Um everyone has already contributed so much in our just formation conversations. And I mean, your remarks in particular about being cautious with our 'Get Glue On It' process and how we present that. That really, really stuck with me and I have been thinking about that. And we are doing some extra, some extra like chemical analysis and verification so that we can really speak more knowledgeably about the impacts of that process. So, um, thank you so much for everything you've already contributed to this project, [laughs] which is -- is a lot. Um if you wouldn't mind, could you maybe just give us a little bit of introduction in terms of, um, you know, who you are and your roles as relevant to this project, um, Tribal affiliations, if you want to share, and just kinda let us know, um, and our audience who might be watching, who you are and um how -- how -- how you like to introduce yourself?",
0:00:59,Angela Neller,"Okay. Um so I'm Angela Neller. I'm the curator at the Wanapum Heritage Center. I've been there for 20 years, uh, managing the repository. So really, managing the collections. Um, uh, we have ethnographic, archaeological, archival material. Uh my real primary expertise is in archaeological collections, and that's my background. I'm a Native Hawaiian and have worked previously at the Bishop Museum and also at the University of Illinois where I was with the, um, Illinois Transportation Archaeological Research Program, which is now called the Illinois State Archaeological Survey. Um and so I just have, um, really an archaeology background. I just... sorry, my alarm... um have an archeology background, um, really was interested in archaeology to learn more about sort of my Hawaiian ancestors and, and how they lived before. And so that's kinda how I got into archaeology, but my, um, my niche really in archaeology is managing collections, um, and just, archaeological collections, ethnographic. And, um, that's about it.",
0:02:18,Marco Seiferle-Valencia,"Yeah, that's awesome. How did you come to get out at the Wanapum Heritage Center, you know? 'Cause for folks who don't know, it's, is Central Washington a fair descriptor for that, you would say?",
0:02:27,Angela Neller,Yes. Yep. Yeah.,
0:02:29,Marco Seiferle-Valencia,Yeah. Yeah. So how -- how did you end up out there?,
0:02:31,Angela Neller,"Um I was working at ITARP, and they had, um, the Wanapum Heritage Center was looking for a person with archaeological curation experience, and they were, um, looking to -- to contract with someone. And at the time in my position, I was looking to possibly do some contract work on the side. So I was kinda curious. I saw the announcement and was curious about how that would work. And I think in -- in the interview, um, I ended up having with the Wanapum elders, um, the real, the importance of the Heritage Center to the Wanapum in terms of taking care of things that have come from their homeland, having that connection to the past through the collections, um, you know, was really kind of a value that I had for myself in terms of being Hawaiian and having a connection to Hawaiian material culture that can be found in museums. And so I think just hearing what they were interested in was something that made me realize that it would, I would be interested in working with them.",
0:03:40,Marco Seiferle-Valencia,Yeah.,
0:03:40,Angela Neller,"And so I ended up coming out and working, um, in my current position.",
0:03:45,Marco Seiferle-Valencia,"Wow, that's so cool. I had no idea you'd been in that role for 20 years. That, that really impresses me that the Wanapum Center has been, you know, on the scene for that long, and I assume before then, because, you know, that, that's really, um, innovative in that way for its time too. So that's so cool that you have such a, a longevity, uh, with that organization. And, um, I feel so blessed to have you on this, on this advisory board, especially being a kind of neighbor, um, to the U of Idaho where this, the Crabtree collection's based. Um obviously, we're not like next door, but I feel like out, out in this region if you can get to someone in five hours, that's pretty good. [laughs]",
0:04:21,Angela Neller,Right.,
