timestamp,speaker,words,tags
00:0:00,Marco Seiferle-Valencia,"Okay, so thank you for joining us, everyone today. I'm Marco Seiferle-Valencia, uh, Jylisa Kenyon and we're here with Dr. Bonnie Newsom. So Bonnie, thank you so much for joining us. Um I've said this at the start of every one of our sessions, and it's true every time. I am just so happy and honored with the advisory board that we were able to assemble for this, and I just want to thank you for being a part of it. Um the contributions that you've made already have been really helpful. Um we were just chatting before we hit record about, you know, the possibility of setting sort of a time-limit on some of these, um recordings, which I think is such an excellent idea and such a great way to allow people to speak freely while also then, um, still having some, uh, autonomy over how that's presented and allowing their ideas to evolve.",
00:0:47,Marco Seiferle-Valencia,"And so that's just one example of a -- a really great, uh, kind of concise contribution, um, you've made. That was just, I think, you know sort of just an idea that came off the top of your head that I feel like is super helpful for us and -- and the group and even, kind of um, sort of informs this work in a different way. Because I think in -- in libraries and archives, we're always thinking of making things for the record and making things permanent and durable. And those goals can be good and they can also have some -- some drawbacks. And it's also, um, kind of a western approach to doing things. It's a way that's like, we gotta lock down the record and then have it there, and then nothing can change and we need to cite it. So I just wanna, you know acknowledge that right off the bat, that was such a helpful and useful thing and, uh, contribution to give us. So thank you for joining us.",
00:1:35,Marco Seiferle-Valencia,"Um I'm gonna ask you to tell us just a little bit about yourself. Any, um, affiliations that you want to share, and any, um, research titles or other types of titles that you'd like to share as part of doing your introduction.",
00:1:47,Bonnie Newsom,"Bonnie Newsom niltoliwis naga pαnawάhpskew nil. Uh hello, my name is Bonnie Newsom. I'm a citizen of the Penobscot Nation. I'm also an archaeologist with the anthropology department at the University of Maine. Uh and I'm affiliated with the University of Maine's Climate Change Institute. I'm a mother of four and grandmother of three, so the, those are my greatest contributions to the world. [laughs]",
00:2:14,Marco Seiferle-Valencia,"All -- all good ones and um, what, what a -- what a rich, uh, sort of a rich set of contributions too. Right? Like um, so -- so thank you for being here. Um I'm just gonna dive right into these questions that we shared with you and then we can just sorta have a conversation and work our way through 'em. Um so the first one is just pretty broad. It's, what's your perspective on the Crabtree Collection and ones like it? Is it appropriative of Native culture?",
00:2:40,Bonnie Newsom,"So the Crabtree Collection is, in my mind, it epitomizes this notion that archaeologists have the right to, um, study and collect, um, Indigenous heritage without, uh, consultation or permission. That being said, I think it, Crabtree you know, lived and worked during a time when, uh, Indigenous peoples had not asserted a voice in kind of this, uh, um, area. And um, not to excuse some of the, uh, problems with that, but to at least acknowledge and recognize that, um, you know I don't think he meant any, um, malice from what, you know, he was doing in terms of collecting information and, and skills and knowledge from Indigenous peoples. Um so I -- I do feel like, um, the Crabtree project now is an opportunity for us to kinda visit that and revisit that in a way that, uh, brings Indigenous voices to, um, his work and his legacy.",
00:4:06,Marco Seiferle-Valencia,"Yeah, that's, I -- I think that's a really honest and fair and true way of putting it and one that's generous to him and also acknowledges sort of the historical context. I'm not sure if this is something that you know, so feel free to if you don't. Um but for Crabtree's time, what would've been kind of a high watermark of Indigenous collaboration with archeology? Right, like what did that look like in the 1970s say? I mean, I -- I think it's hard to sorta pin Crabtree to a particular time because it's partly like what epoch of his career are we talking about? But I guess I'm just sort of wondering like, what -- what could've, what was the best sort of version of what we're describing as this goal of Indigenous collaboration that might have been happening at the time? Was that even in the zeitgeist of anthropologists and archaeologists at all? Um and when did that kind of start to sort of come to fruition? I, I'm -- I'm just sort of curious about those things and curious what you might know.",
00:5:11,Bonnie Newsom,"Mm-hmm. So I think, you know, the 1970s and earlier, there was an effort among some archeologists to include Indigenous peoples in excavations, um, or to uh, uh, you know, consult with Indigenous peoples in terms of information gathering. It seems to be a very extractive kind of uh, um approach to including Indigenous peoples. Um, if we go back a little further, um, you know, Warren K. Moorehead, who was an archaeologist here in the northeast, uh, he, um, never consulted with Indigenous peoples. Except, you know there was one time where I read in his, uh, publication that he wanted to visit Indian Island, which is my, uh, reservation and do some archaeology there and the, the Tribe said no. And, um, he noted that, you know, the Penobscots were very tenacious in their rights, um, and, you know he wasn't able to do that work.",
00:6:18,Bonnie Newsom,"Um so I think that, you know, fast forward to 60s and 70s, I think, um, I think there was more of a desire at that point to try and at least, um, interpret, help interpret the archaeological record with information from Indigenous peoples. And still, you know, the consultation was not there, um, as we see it today. And, you know, this movement of Indigenous archaeologies and community-based approaches has really, um, blossomed since probably the 1990s. Uh, and we're, and now we're moving into um I think an era of uh, uh, kind of critical Indigenous studies in archaeology where we are beginning to really deconstruct some of that, um, uh, those normative ways of thinking about archaeology. So, um, I've seen a wonderful evolution of the discipline just in my time. You know, I started archaeology in the 90s and, um, I really have seen, um, you know a transformation during that time. So I'm excited and optimistic, but I do think uh, that, Crabtree was probably um, uh considerate and thoughtful about Indigenous peoples. It just was not part of the norm at that time to consult.",
00:7:55,Marco Seiferle-Valencia,"Yeah, thank -- thank you. That is -- that is so helpful and really useful to -- to think about and understand some of that historical context and sort of, like, what was possible and what wasn't possible and what was happening and what the norms are. I think, um, you know one -- one criticism of our criticism of Crabtree might be like, well, you have to understand people in their historical context. And so I -- I think it is, that's true, we do need to understand people in their historical context. And also librarians and archivists must be careful to not just uncritically present historical context as if it's contemporary context because we haven't sort of got ourselves up to date on the profession, so to speak.",
