timestamp,speaker,words,tags
00:0:00,Marco Seiferle-Valencia,"Well Jason, if you don't mind, uh, why don't you give us a little introduction, just however you'd like to introduce yourself, uh, your name, Tribal affiliation, and any roles that you think are pertinent for this interview.",
00:0:09,Jason Younker,"Okay. Uh I'm Jason Younker. I am the Assistant Vice President and Advisor to the President for Sovereignty and Government to Government Relations. I'm also Chief of the Coquille Indian Tribe and an associate professor of anthropology here at the University of Oregon. Wear a lot of different hats, and sometimes I don't know which hat I'm wearing.",
00:0:35,Marco Seiferle-Valencia,"That's, uh, very reasonable and very fair. Uh thank you so much for, uh, meeting with us. So we shared this interview question set with you. So I'm just going to kind of dive right into the first one as we have it, and it's just a broad question. It's, what's your perspective on the Crabtree Collection and ones like it? And do you think it's appropriative of Native cultures? Is it appropriative?",
00:1:00,Jason Younker,"Um, I, you know, there are a lot of Crabtree-like collections in the world, and, uh, I think his is probably a really good example of appropriation. Um however, they are also very good examples of technology, traditional technology. Now I, you know, my familiarity with Crabtree is that sometimes when individuals get this deep into the hole, they consider themselves Native American and better than Native Americans. And sometimes that's the feel that I get from this collection is that ""there are no more Native Americans, so I have to take this upon myself."" And that isn't entirely the truth. Um but I do think that these types of examples should not remain hidden because they are appropriated, they should be used to teach that appropriation is not necessarily telling the correct story. Um, so that -- that is kind of my opinion about those type of collections in general. Um, and sometimes, you know sometimes, you have to throw all of the things over the side of the canoe, [laughs] but I don't -- I don't get that feeling from Crabtree's collection. I think that this is an opportunity to -- to show some really good items.",
00:2:48,Jason Younker,"Um, would I be disappointed if it didn't exist altogether? Probably, because you know, our American Indian Alaskan Native histories are very, very traumatic and included mostly death by disease. Uh and so sometimes these things are forgotten, uh, but I don't think lithic art is -- is one of those things that we have forgotten. But he did certainly present himself in a light, uh, that it made him look like he was the only one that knew.",
00:3:37,Marco Seiferle-Valencia,"Yeah. Thank you, Jason. I, I absolutely agree, and I think you hit on some really, really great points there and the erasure and the emulation and also still the value of these demonstrations of the technology and some of the techniques used, Crabtree, both emulated things that he had seen and invented his own sort of remixes of things. And so it's interesting to think about that in a sort of intellectual property kind of context and that it creates a space where we can have conversations like this one, and that, um, the collection not existing doesn't resolve these issues right? That it's -- it's -- it's a place where we can engage. So that's -- that's...",
00:4:16,Jason Younker,"And I think that you really said it well. That I mean, it is the context. We have to understand the context of these things. Rather than convict them of who made them, let's figure out what the context was and then let's assess it on those values.",
00:4:35,Marco Seiferle-Valencia,"Yeah, yeah, that's great. That makes great sense. Um, Jylisa, do you want to take us into question two, which I think really dovetails nicely with that combo?",
00:4:44,Jylisa Kenyon,"Yes -- yes, definitely. Do you think folks digitizing digital collections who are not anthropologists should take up this type of contextualizing work? If so, how can we be successful without causing further harm?",
00:4:59,Jason Younker,"Again, it's about context. And digitizing is just one of those modern technologies, just like we are on Zoom today. Uh you know, digitizing makes available, uh, information at a local level. When I was going through graduate school, we went to the Smithsonian to find any documents about my Tribe. And I mean that's a -- that's a location very far away. Um and we're, the Coquille are a very small Tribe and they said, ""oh, we'll go ahead and, um, copy anything that you want."" Well, copying is just another form of digitizing really. And so we said, ""okay, great."" And little did we know, we came away with 60,000 pages of information. And [laughs] the second time they invited us out there, they didn't make that promise again. [laughs] But I mean this is just the next step in -- in technology, and I think it does make sense to preserve and not only preserve them, but preserve them in multiple locations.",
