objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,source,language,rights,rightsstatement,student_initials,publish,original_format,type,format,object_comments,group,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight_g,count,GGOI,filename,display_template,object_location,image_small,image_thumb
ce_ca_d1_1146-a,,Ce.1146,Indigenous,,N/A,,Marginal pressure retouch Zeloshi flint from Ohio. (JW),artifacts; lithics,,,,,,,,,CE_CA_D1_1146-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,projectile point,flint,Ohio,88.38,31.33,9.76,27.9,1,,CE_CA_D1_1146-a.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1146-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1146-a_th.jpg
ce_ca_d1_1146-b,ce_ca_d1_1146-a,Ce.1146,Indigenous,,N/A,,Marginal pressure retouch Zeloshi flint from Ohio. (JW),artifacts; lithics,,,,,,,,,CE_CA_D1_1146-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,projectile point,flint,Ohio,88.38,31.33,9.76,27.9,1,,CE_CA_D1_1146-b.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1146-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1146-b_th.jpg
ce_ca_d1_1182-a,,Ce.1182,Indigenous,,N/A,,Marginal pressure retouch Zeloshi flint from Ohio. (JW),artifacts; lithics,,,,,,,,,CE_CA_D1_1182-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,biface,flint,Ohio,103.13,50.98,10.21,65.0,1,,CE_CA_D1_1182-a.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1182-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1182-a_th.jpg
ce_ca_d1_1182-b,ce_ca_d1_1182-a,Ce.1182,Indigenous,,N/A,,Marginal pressure retouch Zeloshi flint from Ohio. (JW),artifacts; lithics,,,,,,,,,CE_CA_D1_1182-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,biface,flint,Ohio,103.13,50.98,10.21,65.0,1,,CE_CA_D1_1182-b.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1182-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1182-b_th.jpg
ce_ca_d1_1183-a,,Ce.1183,Indigenous,,N/A,,,artifacts; lithics,,,,,,,,,CE_CA_D1_1183-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,biface,quartzite,N/A,66.46,35.05,7.08,13.6,1,,CE_CA_D1_1183-a.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1183-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1183-a_th.jpg
ce_ca_d1_1183-b,ce_ca_d1_1183-a,Ce.1183,Indigenous,,N/A,,,artifacts; lithics,,,,,,,,,CE_CA_D1_1183-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,biface,quartzite,N/A,66.46,35.05,7.08,13.6,1,,CE_CA_D1_1183-b.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1183-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1183-b_th.jpg
ce_ca_d1_1184-a,,Ce.1184,Indigenous,,N/A,,,artifacts; lithics,,,,,,,,,CE_CA_D1_1184-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,projectile/knife,cryptocrystalline silicate,N/A,100.75,35.88,7.29,29.8,1,,CE_CA_D1_1184-a.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1184-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1184-a_th.jpg
ce_ca_d1_1184-b,ce_ca_d1_1184-a,Ce.1184,Indigenous,,N/A,,,artifacts; lithics,,,,,,,,,CE_CA_D1_1184-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,projectile/knife,cryptocrystalline silicate,N/A,100.75,35.88,7.29,29.8,1,,CE_CA_D1_1184-b.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1184-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1184-b_th.jpg
ce_ca_d1_1435-a,,Ce.1435,Indigenous,,N/A,,"Collected c. 1940s, Owyhee County",artifacts; lithics,,,,,,,,,CE_CA_D1_1435-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,projectile point,quartzite,N/A,65.39,40.31,13.77,34.6,1,,CE_CA_D1_1435-a.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1435-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1435-a_th.jpg
ce_ca_d1_1435-b,ce_ca_d1_1435-a,Ce.1435,Indigenous,,N/A,,"Collected c. 1940s, Owyhee County",artifacts; lithics,,,,,,,,,CE_CA_D1_1435-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,1,N/A,N/A,projectile point,quartzite,N/A,65.39,40.31,13.77,34.6,1,,CE_CA_D1_1435-b.jpg,artifact_image,,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d1_1435-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d1_1435-b_th.jpg
