identifier,matching_objects,image_thumb,image_small,object-type,title,"creator (Lastname, Firstname; Lastname, Firstname)","recipient (Lastname, Firstname; Lastname, Firstname)",date (yyyy-mm-dd or yyyy-mm or yyyy),"date is approximate? (yes, or blank)",description (1-3 sentences),"subject (subject1; subject2)
in most cases, aim for 3 or more subjects, but less is okay
controlled vocab lookup: https://www.getty.edu/research/tools/vocabularies/aat/","associated names (Lastname, Firstname; Lastname, Firstname)","location 1 (City, State)","latitude / longitude 1 (lat, long)
go to https://www.google.com/maps/, right click on the location, click on the lat/long that appear at the top of the drop down (this will copy the lat/long to your clipboard). right click in the cell you wish to add the data, select ""paste special"" > ""values only.""","location 2 (City, State)","latitude / longitude 2 (lat, long)
go to https://www.google.com/maps/, right click on the location, click on the lat/long that appear at the top of the drop down (this will copy the lat/long to your clipboard). right click in the cell you wish to add the data, select ""paste special"" > ""values only.""","doc length x width l""xw""",cabinet,drawer,box,bag,"type (biface, projectile point, etc.)",material,material source,length (mm),width (mm),thickness (mm),weight (g),count,source,"original format (i.e. letter, newspaper clipping, artifact, etc.)",type,"language
code lookup: http://www.loc.gov/standards/iso639-2/php/code_list.php",rights (before 1926 = no copyright; after 1926 or not sure = in copyright),student initials,"publish? (no, or blank)","GGOI? (yes, or blank"
CE_B1_F2-Item15,CE_B1_F2-Item15.pdf,thumbs/ce_b1_f2-item15_th.jpg,small/ce_b1_f2-item15_sm.jpg,pdf,Letter to Larry Agenbroad from Donald Crabtree,"Crabtree, Donald ""Don"" E.","Agenbroad, Larry",1973-10-02,,Typewritten letter where Crabtree wrote to Agenbroad to inform him he received the paycheck from the University for the excavation site work and detailed a trip he took with Evelyn. He talked about the Explorer’s Club and attached his qualifications. He then discussed receiving some photos from Junius Bird and Earl Swanson being back in his former position. He also said he met with Francois Bordes and Marie Wormington in Tucson and Denver where they all discussed hammerston vs. billet techniques.,personal correspondence; Explorer's Club; typewritten,"Daugherty, Dick; Haynes, Vance; Gould, Dick; Bird, Junius; Swanson, Earl; Bordes, Francois; Wormington, Marie","Kimberly, Idaho","42.5335805982885, -114.36611902175405","Chadron, Nebraska","42.82934786534046, -102.99942780634476","8.5""x11""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F2-Item16,CE_B1_F2-Item16.pdf,thumbs/ce_b1_f2-item16_th.jpg,small/ce_b1_f2-item16_sm.jpg,pdf,Letter from Larry Agenbroad to Donald Crabtree,"Agenbroad, Larry; Crabtree, Donald ""Don"" E.","Crabtree, Donald ""Don"" E.; Agenbroad, Larry",1973-10-09,,Page one: Agenbroad wrote to Crabtree to inform him that he would sponsor his Explorer's Club application. Page two: Agenbroad attached a copy of the application and asked Crabtree to fill in missing fields. Page three: Letter from Crabtree to Agenbroad about the application and Earl Swanson returning to his former position.,personal correspondence; Explorer's Club; typewritten; letter of recommendation,"Gould, Dick; Haynes, Vance; Bird, Junius; Sanger, David; Swanson, Earl; Butler, B. Robert; Agenbroad, Wanda","Chadron, Nebraska","42.82934786534046, -102.99942780634476","Kimberly, Idaho","42.5335805982885, -114.36611902175405","8.5""x11""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F2-Item28,CE_B1_F2-Item28.pdf,thumbs/ce_b1_f2-item28_th.jpg,small/ce_b1_f2-item28_sm.jpg,pdf,Letter from Donald Crabtree to George Agogino,"Crabtree, Donald ""Don"" E.","Agogino, George",1970-10-03,,Copy of a typewritten letter where Crabtree wrote back to Agogino to inform him that he received the flakes and worked with them with Francois Bordes who was visiting. He said he had Irvin Rovner at the field school and had him return the flakes to Agogino. He then writes that Evelyn is ill with lung cancer.,personal correspondence; typewritten; tool exchange; artifact identification; health; field school,"Bordes, Francois; Rovner, Irvin; Crabtree, Evelyn","Kimberly, Idaho","42.5335805982885, -114.36611902175405","Portales, New Mexico","34.18763622670309, -103.33258431768486","8.5""x11""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F3-Item36,CE_B1_F3-Item36.pdf,thumbs/ce_b1_f3-item36_th.jpg,small/ce_b1_f3-item36_sm.jpg,pdf,Letter from Michael W. Barnes to Donald Crabtree,"Barnes, Michael W.","Crabtree, Donald ""Don"" E.",1966-03-10,,Handwritten letter from Michael Barnes saying that he found “the article on heat treating silicon material extremely informative.” He said he is studying anthropology and a lithic technologist. He asked to be sent information on how to chip a hole into a flake without drilling it.,professional correspondence; heat treatment; techniques; stoneworking; handwritten,Butler,"Philadelphia, Pennsylvania","39.95558519784379, -75.15030921595914",,,"8.5""x11""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Handwritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F4-Item123,CE_B1_F4-Item123.pdf,thumbs/ce_b1_f4-item123_th.jpg,small/ce_b1_f4-item123_sm.jpg,pdf,Letter from Donald Crabtree to Douglas Byers,"Crabtree, Donald ""Don"" E.","Byers, Douglas S.",1970-07-23,,"Typewritten letter from Donald Crabtree to Douglas Byers where he discussed Evelyn's cancer treatments and inquired about Byers' health. He went on to discuss the Bull Brook collection again, and said that without seeing many more of the artifacts at the same time he couldn't draw any conclusions about whether some things were purposeful or not.",personal correspondence; artifact analysis; surgery; health; typewritten,"Crabtree, Evelyn","Kimberly, Idaho","42.5335805982885, -114.36611902175405","Andover, Massachusetts","42.65865209238014, -71.13307507847972",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F4-Item124,CE_B1_F4-Item124.pdf,thumbs/ce_b1_f4-item124_th.jpg,small/ce_b1_f4-item124_sm.jpg,pdf,Letter from Douglas Byers to Donald Crabtree,"Byers, Douglas S.","Crabtree, Donald ""Don"" E.",1970-08-03,,Handwritten letter from Douglas Byers to Donald Crabtree where he discussed more about Evelyn's cancer and answered his questions regarding his own health. He talked more about the issues he was having with analyzing the Bull Brook collection.,personal correspondence; artifact analysis; surgery; health; handwritten,"Crabtree, Evelyn","Blue Hill, Maine","44.41467388720081, -68.578136725863","Kimberly, Idaho","42.5335805982885, -114.36611902175405",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Handwritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F4-Item125,CE_B1_F4-Item125.pdf,thumbs/ce_b1_f4-item125_th.jpg,small/ce_b1_f4-item125_sm.jpg,pdf,Letter from Donald Crabtree to Douglas Byers,"Crabtree, Donald ""Don"" E.","Byers, Douglas S.",1970-10-07,,Typewritten letter from Donald Crabtree where he updated Byers on Evelyn's progressing cancer and how they were treating it. He mentioned that Earl Swanson would visit him to look over the Bull Brook material and then he talked about the recent summer field school.,personal correspondence; travel; health; field school,"Crabtree, Evelyn; Swanson, Earl; Bordes, Francois; Scotty; Rovner, Irvin; Stockman, Karen; Phagen, Karl; Johnson","Kimberly, Idaho","42.5335805982885, -114.36611902175405","Surry, Maine","44.498647481399544, -68.51004577133696",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F4-Item126,CE_B1_F4-Item126.pdf,thumbs/ce_b1_f4-item126_th.jpg,small/ce_b1_f4-item126_sm.jpg,pdf,Letter from Douglas Byers to Donald Crabtree,"Byers, Douglas S.","Crabtree, Donald ""Don"" E.",N/A,N/A,Typewritten letter from Douglas Byers where he gave his sympathy for Evelyn's progressing cancer and updated Crabtree on his personal and work life. He discussed his work on the Bull Brook collection and a comparison of Western and Eastern Paleo-Indian materials.,personal correspondence; heath; artifact analysis; research; article,"Irwin; Wormington; Crabtree, Evelyn; Bordes, Francois","Andover, Massachusetts","42.65865209238014, -71.13307507847972",,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F4-Item127,CE_B1_F4-Item127.pdf,thumbs/ce_b1_f4-item127_th.jpg,small/ce_b1_f4-item127_sm.jpg,pdf,Letter from Donald Crabtree to Douglas Byers,"Crabtree, Donald ""Don"" E.","Byers, Douglas S.",1970-11-13,,Typewritten letter from Donald Crabtree where he updated Byers on Evelyn's cancer treatment and then wrote back to comment on a paper he had sent him about the Bull Brook collection.,personal correspondence; health; artifact analysis; article; technique; typewritten,"Crabtree, Evelyn; Swanson, Earl","Kimberly, Idaho","42.5335805982885, -114.36611902175405","Andover, Massachusetts","42.65865209238014, -71.13307507847972",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B1_F4-Item128,CE_B1_F4-Item128.pdf,thumbs/ce_b1_f4-item128_th.jpg,small/ce_b1_f4-item128_sm.jpg,pdf,Letter from Donald Crabtree to Douglas Byers,"Crabtree, Donald ""Don"" E.","Byers, Douglas S.",1971-06-24,,"Typewritten letter from Donald Crabtree to Douglas Byers where he wrote to update Byers on Evelyn's health and his recent travels. He discussed the upcoming field school, his work, and his plans to travel and visit with him.",personal correspondence; health; field school; experimental archaeology; techniques; travel; vacation; typewritten,"Crabtree, Evelyn; Swanson, Earl; Coe, Joffre; Mauger, Jeff; Scotty; Fred; Phagan, Carl","Andover, Massachusetts","42.65865209238014, -71.13307507847972","Kimberly, Idaho","42.5335805982885, -114.36611902175405",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
