filename,removed,extension,format,identifier,metadata_match,id_base,object_location,image_small,image_thumb
CE_CA_D1_2404_model.jpg,true,jpg,image/jpeg,CE_CA_D1_2404_model,ce_ca_d1_2404_model,CE_CA_D1_2404,,,
CE_CA_D1_2404_model.mtl,true,mtl,model,CE_CA_D1_2404_model,ce_ca_d1_2404_model,CE_CA_D1_2404,,,
CE_CA_D1_2404_model.obj,true,obj,model,CE_CA_D1_2404_model,ce_ca_d1_2404_model,CE_CA_D1_2404,,,
CE_CA_D1_2404_model.stl,true,stl,model,CE_CA_D1_2404_model,ce_ca_d1_2404_model,CE_CA_D1_2404,,,
CE_CA_D1_2404_model.x3d,true,x3d,model,CE_CA_D1_2404_model,ce_ca_d1_2404_model,CE_CA_D1_2404,,,
CE_CA_D1_38_model.jpg,true,jpg,image/jpeg,CE_CA_D1_38_model,ce_ca_d1_38_model,CE_CA_D1_38,,,
CE_CA_D1_38_model.mtl,true,mtl,model,CE_CA_D1_38_model,ce_ca_d1_38_model,CE_CA_D1_38,,,
CE_CA_D1_38_model.obj,true,obj,model,CE_CA_D1_38_model,ce_ca_d1_38_model,CE_CA_D1_38,,,
CE_CA_D1_38_model.stl,true,stl,model,CE_CA_D1_38_model,ce_ca_d1_38_model,CE_CA_D1_38,,,
CE_CA_D1_38_model.x3d,true,x3d,model,CE_CA_D1_38_model,ce_ca_d1_38_model,CE_CA_D1_38,,,
CE_CA_D1_6557_model.jpg,true,jpg,image/jpeg,CE_CA_D1_6557_model,ce_ca_d1_6557_model,CE_CA_D1_6557,,,
CE_CA_D1_6557_model.mtl,true,mtl,model,CE_CA_D1_6557_model,ce_ca_d1_6557_model,CE_CA_D1_6557,,,
CE_CA_D1_6557_model.obj,true,obj,model,CE_CA_D1_6557_model,ce_ca_d1_6557_model,CE_CA_D1_6557,,,
CE_CA_D1_6557_model.stl,true,stl,model,CE_CA_D1_6557_model,ce_ca_d1_6557_model,CE_CA_D1_6557,,,
CE_CA_D1_6557_model.x3d,true,x3d,model,CE_CA_D1_6557_model,ce_ca_d1_6557_model,CE_CA_D1_6557,,,
CE_CA_D2_1167_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1167_model,ce_ca_d2_1167_model,CE_CA_D2_1167,,,
CE_CA_D2_1167_model.mtl,true,mtl,model,CE_CA_D2_1167_model,ce_ca_d2_1167_model,CE_CA_D2_1167,,,
CE_CA_D2_1167_model.obj,true,obj,model,CE_CA_D2_1167_model,ce_ca_d2_1167_model,CE_CA_D2_1167,,,
CE_CA_D2_1167_model.stl,true,stl,model,CE_CA_D2_1167_model,ce_ca_d2_1167_model,CE_CA_D2_1167,,,
CE_CA_D2_1167_model.x3d,true,x3d,model,CE_CA_D2_1167_model,ce_ca_d2_1167_model,CE_CA_D2_1167,,,
