objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,associated_names,identifier,cabinet,drawer,box,bag,type_point,material,material_source,length (mm),width (mm),thickness (mm),weight (g),count,source,language,rights,rightsstatement,student initials,publish,GGOI,original_format,type,format,object_comments,group,display_template,object_location,image_small,image_thumb,extension,box_num,folder_number,archival_item,id_num,multiple_num,last,matching_objects
ce_cc_d2_905_model,,Ce.905 Model,"Crabtree, Donald ""Don"" E.",1940,1940,yes,stemmed,experimental artifacts; lithics,,CE_CC_D2_905_model,C,2,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",35.91,18.28,5.19,2.1,1,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,"yes",artifact,InteractiveResource;3DObject,,,model,3d_model,https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_905_model.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_cc_d2_905_model_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_905_model_th.jpg,jpg,CC,D2,,905,,,CE_CC_D2_905_model.jpg
ce_cc_d2_905_model_mtl,ce_cc_d2_905_model,,,,,,,,,CE_CC_D2_905_model,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,,model/mtl,,artifact,3d_model_child,https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_905_model.mtl,,,mtl,CC,D2,,905,,,CE_CC_D2_905_model.mtl
ce_cc_d2_905_model_obj,ce_cc_d2_905_model,,,,,,,,,CE_CC_D2_905_model,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,,model/obj,,artifact,3d_model_child,https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_905_model.obj,,,obj,CC,D2,,905,,,CE_CC_D2_905_model.obj
ce_cc_d2_905_model_stl,ce_cc_d2_905_model,,,,,,,,,CE_CC_D2_905_model,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,,model/stl,,artifact,3d_model_child,https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_905_model.stl,,,stl,CC,D2,,905,,,CE_CC_D2_905_model.stl
ce_cc_d2_905_model_x3d,ce_cc_d2_905_model,,,,,,,,,CE_CC_D2_905_model,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,,model/x3d,,artifact,3d_model_child,https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_905_model.x3d,,,x3d,CC,D2,,905,,,CE_CC_D2_905_model.x3d
ce_cc_d3_4355-a,,Ce.4355,"Crabtree, Donald ""Don"" E.",1930,1930-50,yes,Corner notched,experimental artifacts; lithics,,CE_CC_D3_4355-a,C,3,N/A,N/A,projectile point,obsidian,"Pocatello, Idaho",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CC_D3_4355-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cc_d3_4355-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d3_4355-a_th.jpg,JPG,CC,D3,,4355-a,a,,CE_CC_D3_4355-a.JPG
ce_cc_d3_4355-b,ce_cc_d3_4355-a,Ce.4355,"Crabtree, Donald ""Don"" E.",1930,1930-50,yes,Corner notched,experimental artifacts; lithics,,CE_CC_D3_4355-b,C,3,N/A,N/A,projectile point,obsidian,"Pocatello, Idaho",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CC_D3_4355-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cc_d3_4355-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d3_4355-b_th.jpg,JPG,CC,D3,,4355-b,b,,CE_CC_D3_4355-b.JPG
ce_cc_d3_7152-a,,Ce.7152,"Crabtree, Donald ""Don"" E.",,N/A,,Prismatic,experimental artifacts; lithics,,CE_CC_D3_7152-a,C,3,N/A,N/A,,,N/A,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CC_D3_7152-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cc_d3_7152-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d3_7152-a_th.jpg,JPG,CC,D3,,7152-a,a,,CE_CC_D3_7152-a.JPG
ce_cc_d3_7152-b,ce_cc_d3_7152-a,Ce.7152,"Crabtree, Donald ""Don"" E.",,N/A,,Prismatic,experimental artifacts; lithics,,CE_CC_D3_7152-b,C,3,N/A,N/A,,,N/A,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CC_D3_7152-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cc_d3_7152-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d3_7152-b_th.jpg,JPG,CC,D3,,7152-b,b,,CE_CC_D3_7152-b.JPG
ce_cc_d3_919-a,,Ce.919,"Crabtree, Donald ""Don"" E.",1940,1940,yes,"Side notched, broken. Was previously glued, when it separated is unknown",experimental artifacts; lithics,,CE_CC_D3_919-a,C,3,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,1,2,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CC_D3_919-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cc_d3_919-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d3_919-a_th.jpg,JPG,CC,D3,,919-a,a,,CE_CC_D3_919-a.JPG
